URL,FileSize,NoOfOutLinks,ContentType
https://www.nytimes.com/es/2016/08/26/resena-hands-of-stone-el-carisma-de-mano-de-piedra-duran-en-pantalla-grande/,48741,45,text/html
https://www.nytimes.com/2017/02/15/arts/fake-news-a-cure-for-wellness-movie.html,82831,116,text/html
https://www.nytimes.com/2017/02/09/well/move/does-yoga-qualify-as-an-aerobic-workout.html,79246,110,text/html
http://www.nytimes.com/books/98/02/22/home/contents.html,13451,97,text/html
http://www.nytimes.com/elections/results/massachusetts-state-house-2nd-essex,464467,74,text/html
https://www.nytimes.com/2017/02/18/opinion/the-loneliness-of-the-hockey-scout.html,79367,103,text/html
http://www.nytimes.com/roomfordebate/2014/07/01/the-supreme-court-and-the-future-of-unions,25068,46,text/html
https://www.nytimes.com/2017/01/31/world/americas/canada-quebec-nationalists.html,91591,108,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/west-village/homes-for-sale/96-perry-street-renovated-charming-two-bedroom/254-1631133013017,71121,120,text/html
https://www.nytimes.com/2017/01/02/us/illegal-immigrants-raids-deportation.html,83358,111,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/kensington/homes-for-sale/802-beverley-road/44-3837249,68385,117,text/html
https://www.nytimes.com/2017/02/06/arts/music/migos-billboard-chart-debut.html,74137,106,text/html
http://www.nytimes.com/roomfordebate/2016/10/31/the-moveable-curbside-feast,24052,44,text/html
https://www.nytimes.com/video/opinion/100000004769329/pickle.html,193073,73,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/fulton-ferry/homes-for-sale/30-main-street/185-16086166,78345,120,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/brooklyn-heights/homes-for-sale/160-columbia-heights/44-4085111,70836,119,text/html
https://www.nytimes.com/2016/03/25/automobiles/autoreviews/video-review-the-honda-civic-touring-is-packed-with-technology-and-space.html,74887,101,text/html
https://www.nytimes.com/store/new-york-token-watch-by-tokens-icons.html,147257,171,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/financial-district/homes-for-sale?page=11,449340,165,text/html
https://www.nytimes.com/2016/11/04/business/a-rare-moment-of-unity-on-capitol-hill-thanks-to-trumps-taxes.html,92021,114,text/html
https://www.nytimes.com/store/petit-collage-memory-game-busy-bugs-14100.html,143650,165,text/html
http://www.nytimes.com/2011/11/06/automobiles/autoreviews/audi-a6-a-supporting-actor-not-the-leading-man.html,79882,100,text/html
http://www.nytimes.com/roomfordebate/2016/11/21/should-the-president-be-able-to-block-you-on-twitter,32541,56,text/html
https://www.nytimes.com/video/world/middleeast/100000004858977/bomb-in-syria-kills-dozens.html,246723,108,text/html
https://www.nytimes.com/2017/02/13/opinion/ignorance-is-strength.html,78464,117,text/html
https://www.nytimes.com/es/tag/hoy-no-circula/,34595,22,text/html
https://www.nytimes.com/store/blank-shoe-horn-by-izola-15015.html,144013,165,text/html
https://www.nytimes.com/2017/02/19/fashion/weddings/alexandra-gutman-evan-levine.html,61625,91,text/html
https://www.nytimes.com/store/silence-and-dust-9-11-memorial-2002-nsapwtc2p.html,154783,176,text/html
https://www.nytimes.com/2017/02/03/arts/television/the-good-fight-cbs.html,76884,99,text/html
https://www.nytimes.com/es/2016/12/02/si-trump-lo-tuitea-es-noticia/,54145,40,text/html
https://www.nytimes.com/2017/01/28/us/refugees-detained-at-us-airports-prompting-legal-challenges-to-trumps-immigration-order.html,211338,120,text/html
https://www.nytimes.com/interactive/projects/storywall/american-dreamers/stories/jay,162431,150,text/html
https://www.nytimes.com/store/watch-movement-cufflinks-15046.html,143972,166,text/html
http://www.nytimes.com/roomfordebate/2016/10/06/should-every-young-athlete-get-a-trophy,25068,46,text/html
https://www.nytimes.com/store/winter-morning-glory-2002-nsap2384p.html,154123,177,text/html
http://www.nytimes.com/roomfordebate/2017/01/19/media-in-the-age-of-trump,25740,51,text/html
http://www.nytimes.com/elections/results/massachusetts-state-senate-5th-middlesex,471522,74,text/html
https://www.nytimes.com/store/central-park-trees-nsap869p.html,152454,174,text/html
https://www.nytimes.com/2017/01/31/arts/design/accademia-philip-guston-venice.html,67239,96,text/html
https://www.nytimes.com/store/central-park-from-the-rca-building-1960.html,152547,174,text/html
https://www.nytimes.com/store/bush-v-gore-the-2000-election-tb014.html,18365,29,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/lincoln-square/homes-for-sale/240-riverside-boulevard/12789-1442439040116,79888,120,text/html
https://www.nytimes.com/2017/02/14/world/americas/maduro-tareck-el-aissami-venezuela-drug-trafficking.html,82674,112,text/html
https://www.nytimes.com/interactive/projects/storywall/american-dreamers/stories/nayelli-valdemar,164886,151,text/html
https://www.nytimes.com/2016/09/30/movies/a-man-called-ove-review.html,68438,93,text/html
http://www.nytimes.com/health/guides/disease/parkinsons-disease/overview.html,42046,124,text/html
https://www.nytimes.com/store/art/posters/vintage-art-posters/marc-chagall-artwork.html,146591,177,text/html
https://www.nytimes.com/2017/02/02/arts/design/on-bernard-lumpkins-wall-a-visual-conversation-about-his-roots.html,77228,104,text/html
https://www.nytimes.com/video/world/asia/100000004851379/china-responds-to-trump-tweet-on-north-korean-missiles.html,221518,107,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/brooklyn-heights/homes-for-sale/historical-brooklyn-heights-family-compound/3301-dp1702146,70847,116,text/html
https://www.nytimes.com/2017/01/30/us/politics/trump-dodd-frank-regulations.html,82414,113,text/html
https://www.nytimes.com/store/2017-new-york-times-weekly-planner.html,148960,169,text/html
http://www.nytimes.com/elections/results/north-dakota-ballot-measure-5-medical-marijuana,504334,74,text/html
https://www.nytimes.com/video/business/dealbook/100000004902160/navarro-on-garbage-bank-analysts.html,197873,105,text/html
https://www.nytimes.com/2016/10/22/business/international/european-union-canada-trade-agreement-ceta.html,88131,108,text/html
https://www.nytimes.com/2017/02/09/sports/skiing/lindsey-vonn-world-championships.html,82684,107,text/html
http://www.nytimes.com/roomfordebate/2012/06/17/what-will-change-after-the-supreme-courts-health-care-ruling,27609,56,text/html
http://www.nytimes.com/elections/results/massachusetts-state-house-5th-suffolk,466518,74,text/html
http://www.nytimes.com/elections/results/vermont-state-senate-washington,492268,74,text/html
https://www.nytimes.com/2016/10/23/realestate/chandeliers.html,248322,98,text/html
https://www.nytimes.com/store/the-jacket-comes-off-2008-nsap2136p.html,154619,176,text/html
https://www.nytimes.com/2016/12/30/arts/music/playlist-21-songs-that-nearly-got-away.html,76065,117,text/html
https://www.nytimes.com/2016/03/07/opinion/indian-point-past-its-expiration-date.html,73492,110,text/html
https://www.nytimes.com/2017/02/08/us/black-school-racist-sexist-graffiti.html,82653,106,text/html
http://www.nytimes.com/real-estate/usa/nj/north-bergen/homes-for-sale/8450-boulevard-east-north-bergen-nj-07047/403-3365064,63406,82,text/html
https://www.nytimes.com/es/tag/daca/,44865,28,text/html
http://www.nytimes.com/pages/automobiles/index.html,298714,440,text/html
https://www.nytimes.com/store/hack-wilson-1927-nsap462p.html,152704,176,text/html
https://www.nytimes.com/video/opinion/100000004653100/the-many-sad-fates-of-mr-toledano.html,193330,73,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/park-slope-south/homes-for-sale/options-abound-in-the-south-slope/56-15751715,63196,114,text/html
https://www.nytimes.com/store/ribbon-veneer-zebrawood-clock-14216.html,144788,164,text/html
https://www.nytimes.com/2017/02/16/sports/soccer/chapecoense-plane-crash-survivor.html,90255,102,text/html
https://www.nytimes.com/store/brooklyn-bridge-1908-nsap3530p.html,152460,174,text/html
http://www.nytimes.com/slideshow/2010/10/27/automobiles/autoreviews/20101031-cadillac-srx.html,14737,22,text/html
http://www.nytimes.com/2012/11/25/automobiles/buzzing-around-paris-in-borrowed-electric-cars.html,71652,98,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/ditmas-park/building/400-east-17th-street/6007,58957,114,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/kips-bay/homes-for-sale/340-east-23rd-street/87-6494483,73461,120,text/html
https://www.nytimes.com/2015/10/02/automobiles/autoreviews/video-review-a-new-mazda-mx-5-but-still-the-old-driving-joy.html,73231,98,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/sutton-place/homes-for-sale/60-sutton-place-south/185-16181421,73248,121,text/html
http://www.nytimes.com/real-estate/usa/nj/edgewater/homes-for-sale/1110-river-road-103/2916-kkndwf,64212,96,text/html
https://www.nytimes.com/store/new-york-times-established-1851-coffee-mug-tms116.html,190923,165,text/html
http://www.nytimes.com/roomfordebate/2014/04/01/global-warming-and-the-developing-world,26849,52,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/greenwood-heights/homes-for-sale/227-34th-street/12826-1593291102416,71483,117,text/html
http://www.nytimes.com/2011/03/20/automobiles/20PLANT.html,60799,91,text/html
http://www.nytimes.com/2010/10/31/automobiles/autoreviews/31BLOCK.html,71731,98,text/html
https://www.nytimes.com/2017/02/14/opinion/alone.html,74566,99,text/html
https://www.nytimes.com/es/2017/01/12/ciberguerra-a-la-venta/amp/,81431,20,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/bay-ridge/homes-for-sale,375999,166,text/html
http://www.nytimes.com/roomfordebate/2016/12/22/since-the-fall-of-the-soviet-union/the-us-was-wrong-to-think-russia-was-no-longer-a-player,32910,59,text/html
http://www.nytimes.com/elections/results/new-york-house-district-7-velazquez-romaguera,472223,75,text/html
https://www.nytimes.com/2017/01/31/nyregion/refugees-congolese-family-hudson-valley.html,95897,113,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/bay-ridge/homes-for-sale/6819-madeline-court/11917-60bfd01f017f7,75219,114,text/html
http://www.nytimes.com/2011/03/30/arts/music/clyde-stubblefield-a-drummer-aims-for-royalties.html,76525,100,text/html
http://www.nytimes.com/elections/results/florida-ballot-measure-3-exempt-1st-responder-proptax,514193,74,text/html
https://www.nytimes.com/store/empire-state-building-1949.html,150502,168,text/html
https://www.nytimes.com/store/raising-the-flag-at-iwo-jima-the-new-york-times-front-page-reprint.html,149184,168,text/html
https://www.nytimes.com/2017/01/19/business/dealbook/federal-student-loans-charlotte-school-of-law.html,81861,106,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/vinegar-hill/homes-for-sale,364512,165,text/html
http://www.nytimes.com/real-estate/usa/ny/staten-island/dongan-hills/homes-for-sale/92-husson-street-staten-island-ny-10305/403-1108085,68713,119,text/html
https://www.nytimes.com/store/cocktail-stirrer-by-match-15051-15052.html,144182,166,text/html
http://www.nytimes.com/roomfordebate/2016/11/29/does-medicare-need-to-be-reformed/gop-plans-would-end-medicares-guaranteed-coverage,33224,64,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/murray-hill/homes-for-sale/225-east-36th-street/10826-1632572020217,71658,119,text/html
https://www.nytimes.com/es/2016/09/29/el-poder-taquillero-de-denzel-washington/,55541,48,text/html
http://www.nytimes.com/pages/opinion/index.html,210914,368,text/html
https://www.nytimes.com/2017/01/25/business/dealbook/dow-20000-stock-market-milestone.html,87138,109,text/html
http://www.nytimes.com/roomfordebate/2014/07/31/do-it-yourself-lawyers,25766,49,text/html
https://www.nytimes.com/column/modern-love,124309,130,text/html
http://www.nytimes.com/real-estate/usa/ny/queens/glen-oaks/homes-for-sale,329169,150,text/html
https://www.nytimes.com/es/2017/01/18/como-debe-responder-mexico-a-las-amenazas-de-trump/,53776,42,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/flatlands/building/1655-flatbush-avenue/5728,62765,113,text/html
http://www.nytimes.com/2012/10/03/arts/03iht-lon03.html,77520,98,text/html
http://www.nytimes.com/elections/results/new-jersey-house-district-9-pascrell-castillo,475166,75,text/html
https://www.nytimes.com/store/newsies-out-after-midnight-lewis-hine-1912-na306616p.html,146763,165,text/html
https://www.nytimes.com/store/open-secrets-wikileaks-war-and-american-diplomacy-nswikileaks.html,146224,165,text/html
https://www.nytimes.com/store/yellow-black-anniversary-bee-pin.html,143584,165,text/html
https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html,107486,132,text/html
http://www.nytimes.com/elections/results/florida-state-attorney-3rd-circuit,464447,74,text/html
https://www.nytimes.com/es/2017/02/14/amor-interrumpido-como-el-veto-de-trump-separo-a-algunas-parejas/amp/,34420,7,text/html
https://www.nytimes.com/2016/12/09/us/chicago-shootings-district-11.html,148644,135,text/html
https://www.nytimes.com/by/elizabeth-olson,107220,119,text/html
https://www.nytimes.com/es/tag/joao-doria/,34583,22,text/html
http://www.nytimes.com/2013/09/22/automobiles/autoreviews/that-trail-of-crumbs-ends-at-the-minivan.html,74792,93,text/html
http://www.nytimes.com/real-estate/usa/nj/fort-lee/homes-for-sale/800-palisade-ave-809/1999-4497344,66675,96,text/html
https://www.nytimes.com/es/tag/miedo-a-volar/,34347,22,text/html
https://www.nytimes.com/2016/11/21/upshot/as-american-as-apple-pie-the-rural-votes-disproportionate-slice-of-power.html,133641,132,text/html
https://www.nytimes.com/interactive/projects/storywall/american-dreamers/stories/eulalio-mendez,163442,151,text/html
https://www.nytimes.com/2015/05/21/technology/personaltech/unlike-you-your-facebook-account-can-be-immortal.html,76866,118,text/html
https://www.nytimes.com/store/mildred-pierce-original-movie-poster-linen-backed-1945.html,140668,165,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/chelsea/homes-for-sale/the-ultimate-downtown-penthouse/12436-ff1a50da4bc2f11fd206df044f9031f02cbc3bd0,87974,120,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/financial-district/homes-for-sale/123-washington-street/10826-1178665021317,70714,118,text/html
https://www.nytimes.com/2014/07/29/books/review/the-new-york-times-book-review-back-issues.html,257438,1124,text/html
https://www.nytimes.com/watching/lists/oscar-winning-documentaries-streaming?emc=edit_nn_20170219&nl=morning-briefing&te=1,163254,51,text/html
http://www.nytimes.com/real-estate/usa/nj/hoboken/homes-for-sale/207-14th-st-3l/1999-4494719,58472,82,text/html
http://www.nytimes.com/elections/results/washington-state-house-district-47-position-2,466654,74,text/html
https://www.nytimes.com/2017/02/02/fashion/mens-style/chumleys-greenwich-village-bar.html,87782,126,text/html
https://www.nytimes.com/store/personalized-quarter-barrel-sign-winelid.html,158285,173,text/html
http://www.nytimes.com/elections/results/washington-state-house-district-47-position-1,466675,74,text/html
https://www.nytimes.com/section/sports/basketball,130600,132,text/html
http://www.nytimes.com/roomfordebate/2014/10/13/campaign-finance-40-years-later-23,26509,53,text/html
https://www.nytimes.com/2016/12/13/movies/star-wars-rogue-one-review.html,91107,107,text/html
http://www.nytimes.com/roomfordebate/2013/04/18/on-gun-legislation-why-did-the-senate-defy-voters,26217,54,text/html
https://www.nytimes.com/2017/01/18/world/europe/germany-afd-alternative-bjorn-hocke.html,91363,117,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/brooklyn-heights/homes-for-sale/spacious-renovated-sunny-1-bed-in-brooklyn-heights/12436-191c51762cde17ee8f7a349ebe5c7eea84dd6f06,78332,119,text/html
https://www.nytimes.com/store/personalized/home.html,182768,225,text/html
http://www.nytimes.com/real-estate/usa/ny/homes-for-sale,419287,160,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/clinton-hill/homes-for-sale?page=0&redirect=find-a-home,405363,168,text/html
http://www.nytimes.com/1985/07/03/nyregion/baroness-aileen-bronfman-de-gunzburg-60.html,44254,63,text/html
https://www.nytimes.com/store/new-york-times-official-front-page-t-shirt-pageshirt.html,225919,164,text/html
https://www.nytimes.com/interactive/2017/01/26/travel/what-to-do-36-hours-in-santiago-chile.html,123166,54,text/html
https://www.nytimes.com/2017/02/09/movies/review-a-united-kingdom-with-love-that-tested-racial-tolerance.html,82525,104,text/html
https://www.nytimes.com/es/tag/sistema-carcelario/,37746,24,text/html
https://www.nytimes.com/store/tribute-in-light-signed-by-damon-winter-2011.html,154698,176,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/lower-east-side/homes-for-sale,372537,165,text/html
https://www.nytimes.com/2016/07/15/science/bardarbunga-volcano-caldera-collapse.html,79279,120,text/html
https://www.nytimes.com/store/new-york-times-custom-birthday-book.html,155082,169,text/html
http://www.nytimes.com/health/guides/disease/irritable-bowel-syndrome/overview.html,36819,92,text/html
https://www.nytimes.com/2014/11/02/automobiles/autoreviews/review-2015-porsche-macan.html,196263,94,text/html
http://www.nytimes.com/elections/results/massachusetts-state-house-12th-essex,464452,74,text/html
http://www.nytimes.com/newsletters/running,21523,27,text/html
https://www.nytimes.com/2017/01/22/arts/design/trump-obama-portrait-museum.html,78618,102,text/html
http://www.nytimes.com/roomfordebate/2014/10/27/what-could-the-fed-do-to-address-inequality,26663,50,text/html
https://www.nytimes.com/2017/02/13/fashion/chloe-sevigny-diane-von-furstenberg-neil-patrick-harris-party-new-york-fashion-week.html,271391,111,text/html
https://www.nytimes.com/column/workspace,112829,123,text/html
https://www.nytimes.com/store/personalized-artisan-mirror-cboard6.html,151293,173,text/html
https://www.nytimes.com/2017/01/31/magazine/the-youth-group-that-launched-a-movement-at-standing-rock.html,116063,100,text/html
https://www.nytimes.com/by/tyler-kepner,115100,124,text/html
http://www.nytimes.com/roomfordebate/2014/09/10/going-after-abusers-like-nfl-player-ray-rice,26247,48,text/html
http://www.nytimes.com/roomfordebate/2013/04/16/the-economics-of-immigration,26293,51,text/html
https://www.nytimes.com/store/apsaroke-war-group-circa-1905-vintage-photograph-vcurtis2p.html,147629,169,text/html
https://www.nytimes.com/2016/05/24/theater/review-hadestown-reanimates-a-well-known-myth.html,84719,106,text/html
https://www.nytimes.com/video/movies/100000004929943/this-weeks-movies-feb-17-2017.html,210332,73,text/html
http://www.nytimes.com/2003/11/07/movies/film-review-tales-of-love-the-true-and-the-not-so-true.html,71056,90,text/html
https://www.nytimes.com/store/john-adams-nsamp2bk.html,143480,164,text/html
http://www.nytimes.com/real-estate/usa/co/mancos/homes-for-sale,343742,141,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/downtown-brooklyn/homes-for-sale/3-family-townhouse/185-15662407,71595,118,text/html
https://www.nytimes.com/column/show-us-your-wall,82993,105,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-60,464500,74,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/midtown-south/homes-for-sale/212-fifth-avenue-apt-11c/2958-4505016,73515,119,text/html
http://www.nytimes.com/slideshow/2017/02/10/realestate/the-pace-quickens-for-construction-in-murray-hill/s/12HIGHEND-slide-JNNH.html,40508,33,text/html
https://www.nytimes.com/es/politica-de-privacidad/,69291,20,text/html
https://www.nytimes.com/es/2017/02/17/quien-es-el-vicepresidente-de-venezuela-acusado-de-narcotrafico-tareck-el-aissami/,56366,42,text/html
http://www.nytimes.com/roomfordebate/2015/06/30/should-greece-abandon-the-euro,24854,45,text/html
https://www.nytimes.com/store/mets-win-world-series-1986-nsapmi66p.html,152731,176,text/html
http://www.nytimes.com/roomfordebate/2015/12/15/are-americans-fears-legitimate,26752,52,text/html
https://www.nytimes.com/store/flying-fortress-1944-nsap175p.html,152639,176,text/html
http://www.nytimes.com/roomfordebate/2016/04/28/is-google-a-harmful-monopoly,23643,42,text/html
http://www.nytimes.com/roomfordebate/page/4?category=education,47173,167,text/html
https://www.nytimes.com/2017/02/10/magazine/lost-body.html,76151,102,text/html
https://www.nytimes.com/2017/02/14/opinion/a-settlers-view-of-israels-future.html,95600,122,text/html
http://www.nytimes.com/elections/results/massachusetts-ballot-measure-5-propositn-25-schools-amhrst,466616,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-59,469810,74,text/html
https://www.nytimes.com/2017/02/08/sports/football/new-england-patriots-white-house-visit-donald-trump.html,87935,128,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-58,464521,74,text/html
https://www.nytimes.com/store/starry-night-snow-globe.html,144093,166,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-57,464487,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-56,468264,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-55,470487,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-54,466408,74,text/html
https://www.nytimes.com/video/us/100000004893565/pipeline-protesters-rally-in-the-us.html,135089,67,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-53,466337,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-52,469139,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-51,467976,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-50,467832,74,text/html
http://www.nytimes.com/real-estate/usa/nj/north-bergen/homes-for-sale?filters%5B%5D=co-op-condo-type,434851,167,text/html
https://www.nytimes.com/2017/01/31/insider/what-were-reading.html,75608,114,text/html
https://www.nytimes.com/books/best-sellers/religion-spirituality-and-faith/,88420,131,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-49,464509,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-48,471323,74,text/html
https://www.nytimes.com/2017/01/26/fashion/weddings/nascar-driver-kurt-busch-finds-his-shooting-star.html,106906,128,text/html
http://www.nytimes.com/real-estate/usa/ny/staten-island/st-george/homes-for-sale,132909,113,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-47,466221,74,text/html
https://www.nytimes.com/es/2016/10/23/un-director-venezolano-usa-la-musica-para-integrar-a-jovenes-refugiados-en-suecia/,50900,39,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-46,464590,74,text/html
http://www.nytimes.com/elections/results/oregon-state-house-district-45,464637,74,text/html
