URL,Status
http://www.nytimes.com/real-estate/usa/nj/guttenberg/homes-for-sale?filters%5B%5D=co-op-type,200
https://www.nytimes.com/store/wollman-rink-1993-nsap87p.html,200
https://www.nytimes.com/2017/02/17/upshot/to-fund-health-plan-gop-considers-limiting-popular-tax-break.html,303
https://www.nytimes.com/2017/02/09/well/move/does-yoga-qualify-as-an-aerobic-workout.html,200
http://www.nytimes.com/elections/results/alabama-ballot-measure-2-baldwin-mayor-retirement,200
https://www.nytimes.com/2017/02/10/fashion/new-york-city-street-photography.html,200
https://www.nytimes.com/2017/02/15/world/asia/north-korea-executions-kim-jong-un.html,200
https://www.nytimes.com/2017/02/08/sports/basketball/charles-oakley-new-york-knicks.html,200
https://www.nytimes.com/column/bits,200
http://www.nytimes.com/2012/02/10/business/energy-environment/2-new-reactors-approved-in-georgia.html,200
https://www.nytimes.com/2017/02/17/magazine/how-to-discover-a-species.html,200
https://www.nytimes.com/2017/02/09/t-magazine/design/studio-kinder-modern-lora-appleton.html,200
https://www.nytimes.com/2017/02/01/science/march-for-science-washington-date.html,200
http://www.nytimes.com/2015/01/23/automobiles/autoreviews/video-review-the-2015-yaris-is-toyotas-bare-bones-budget-car.html,301
https://www.nytimes.com/2014/10/05/realestate/downtown-flushing-where-asian-cultures-thrive.html,200
http://www.nytimes.com/real-estate/usa/ny/queens/maspeth/homes-for-sale/61-32-55th-dr/1999-4505627,200
http://www.nytimes.com/roomfordebate/2016/11/14/should-the-government-bring-back-trust-busting,200
https://www.nytimes.com/2016/07/26/business/verizon-yahoo-sale.html,200
https://www.nytimes.com/2017/02/09/business/pediatrician-heal-michelle-chien.html,200
https://www.nytimes.com/2017/01/31/business/dealbook/sequoia-capital-.html,200
http://www.nytimes.com/ref/membercenter/help/infoservdirectory.html,301
https://www.nytimes.com/store/media/wysiwyg/icon_facebook.png,200
https://www.nytimes.com/2012/04/22/automobiles/autoreviews/a-golf-with-exceptional-grip.html,301
http://www.nytimes.com/roomfordebate/page/2?category=immigration,200
http://www.nytimes.com/elections/results/iowa-state-house-district-99,200
https://www.nytimes.com/store/winston-churchill-on-v-e-day-london-1945-nsap1866p.html,200
http://www.nytimes.com/elections/results/iowa-state-house-district-98,200
